asset_id,asset_name,asset_type,criticality,business_impact
AST-0397,AST-CLOUD-397,Cloud Storage Bucket,Low,Minimal Impact
AST-0398,AST-FIREWALL-398,Firewall Appliance,Low,Minimal Impact
AST-0399,AST-IDENTITY-399,Identity Provider (IdP),Low,Minimal Impact
AST-0400,SRV-DOMAIN-400,Domain Controller,Low,Minimal Impact
AST-0401,SRV-DATABASE-401,Database Server,Low,Minimal Impact
AST-0402,AST-PAYMENT-402,Payment Gateway,Low,Minimal Impact
AST-0403,AST-WORKSTATION-403,Workstation,Low,Minimal Impact
AST-0404,AST-API-404,API Gateway,Low,Minimal Impact
AST-0405,AST-CLOUD-405,Cloud Storage Bucket,Low,Minimal Impact
AST-0407,AST-IDENTITY-407,Identity Provider (IdP),Low,Minimal Impact
AST-0408,SRV-DOMAIN-408,Domain Controller,Low,Minimal Impact
AST-0411,AST-WORKSTATION-411,Workstation,Low,Minimal Impact
AST-0412,AST-API-412,API Gateway,Low,Minimal Impact
AST-0413,AST-CLOUD-413,Cloud Storage Bucket,Low,Minimal Impact
AST-0414,AST-FIREWALL-414,Firewall Appliance,Low,Minimal Impact
AST-0415,AST-IDENTITY-415,Identity Provider (IdP),Low,Minimal Impact
AST-0417,SRV-DATABASE-417,Database Server,Low,Minimal Impact
AST-0419,AST-WORKSTATION-419,Workstation,Low,Minimal Impact
AST-0420,AST-API-420,API Gateway,Low,Minimal Impact
AST-0422,AST-FIREWALL-422,Firewall Appliance,Low,Minimal Impact
AST-0423,AST-IDENTITY-423,Identity Provider (IdP),Low,Minimal Impact
AST-0424,SRV-DOMAIN-424,Domain Controller,Low,Minimal Impact
AST-0425,SRV-DATABASE-425,Database Server,Low,Minimal Impact
AST-0426,AST-PAYMENT-426,Payment Gateway,Low,Minimal Impact
AST-0427,AST-WORKSTATION-427,Workstation,Low,Minimal Impact
AST-0428,AST-API-428,API Gateway,Low,Minimal Impact
AST-0429,AST-CLOUD-429,Cloud Storage Bucket,Low,Minimal Impact
AST-0432,SRV-DOMAIN-432,Domain Controller,Low,Minimal Impact
AST-0433,SRV-DATABASE-433,Database Server,Low,Minimal Impact
AST-0434,AST-PAYMENT-434,Payment Gateway,Low,Minimal Impact
AST-0435,AST-WORKSTATION-435,Workstation,Low,Minimal Impact
AST-0436,AST-API-436,API Gateway,Low,Minimal Impact
AST-0437,AST-CLOUD-437,Cloud Storage Bucket,Low,Minimal Impact
AST-0438,AST-FIREWALL-438,Firewall Appliance,Low,Minimal Impact
AST-0439,AST-IDENTITY-439,Identity Provider (IdP),Low,Minimal Impact
AST-0441,SRV-DATABASE-441,Database Server,Low,Minimal Impact
AST-0442,AST-PAYMENT-442,Payment Gateway,Low,Minimal Impact
AST-0443,AST-WORKSTATION-443,Workstation,Low,Minimal Impact
AST-0444,AST-API-444,API Gateway,Low,Minimal Impact
AST-0445,AST-CLOUD-445,Cloud Storage Bucket,Low,Minimal Impact
AST-0446,AST-FIREWALL-446,Firewall Appliance,Low,Minimal Impact
AST-0448,SRV-DOMAIN-448,Domain Controller,Low,Minimal Impact
AST-0449,SRV-DATABASE-449,Database Server,Low,Minimal Impact
AST-0450,AST-PAYMENT-450,Payment Gateway,Low,Minimal Impact
AST-0451,AST-WORKSTATION-451,Workstation,Low,Minimal Impact
AST-0452,AST-API-452,API Gateway,Low,Minimal Impact
AST-0453,AST-CLOUD-453,Cloud Storage Bucket,Low,Minimal Impact
AST-0454,AST-FIREWALL-454,Firewall Appliance,Low,Minimal Impact
AST-0455,AST-IDENTITY-455,Identity Provider (IdP),Low,Minimal Impact
AST-0456,SRV-DOMAIN-456,Domain Controller,Low,Minimal Impact
AST-0457,SRV-DATABASE-457,Database Server,Low,Minimal Impact
AST-0458,AST-PAYMENT-458,Payment Gateway,Low,Minimal Impact
AST-0460,AST-API-460,API Gateway,Low,Minimal Impact
AST-0461,AST-CLOUD-461,Cloud Storage Bucket,Low,Minimal Impact
AST-0462,AST-FIREWALL-462,Firewall Appliance,Low,Minimal Impact
AST-0463,AST-IDENTITY-463,Identity Provider (IdP),Low,Minimal Impact
AST-0464,SRV-DOMAIN-464,Domain Controller,Low,Minimal Impact
AST-0465,SRV-DATABASE-465,Database Server,Low,Minimal Impact
AST-0466,AST-PAYMENT-466,Payment Gateway,Low,Minimal Impact
AST-0468,AST-API-468,API Gateway,Low,Minimal Impact
AST-0469,AST-CLOUD-469,Cloud Storage Bucket,Low,Minimal Impact
AST-0470,AST-FIREWALL-470,Firewall Appliance,Low,Minimal Impact
AST-0471,AST-IDENTITY-471,Identity Provider (IdP),Low,Minimal Impact
AST-0472,SRV-DOMAIN-472,Domain Controller,Low,Minimal Impact
AST-0473,SRV-DATABASE-473,Database Server,Low,Minimal Impact
AST-0475,AST-WORKSTATION-475,Workstation,Low,Minimal Impact
AST-0477,AST-CLOUD-477,Cloud Storage Bucket,Low,Minimal Impact
AST-0478,AST-FIREWALL-478,Firewall Appliance,Low,Minimal Impact
AST-0479,AST-IDENTITY-479,Identity Provider (IdP),Low,Minimal Impact
AST-0480,SRV-DOMAIN-480,Domain Controller,Low,Minimal Impact
AST-0482,AST-PAYMENT-482,Payment Gateway,Low,Minimal Impact
AST-0483,AST-WORKSTATION-483,Workstation,Low,Minimal Impact
AST-0485,AST-CLOUD-485,Cloud Storage Bucket,Low,Minimal Impact
AST-0486,AST-FIREWALL-486,Firewall Appliance,Low,Minimal Impact
AST-0487,AST-IDENTITY-487,Identity Provider (IdP),Low,Minimal Impact
AST-0488,SRV-DOMAIN-488,Domain Controller,Low,Minimal Impact
AST-0489,SRV-DATABASE-489,Database Server,Low,Minimal Impact
AST-0490,AST-PAYMENT-490,Payment Gateway,Low,Minimal Impact
AST-0491,AST-WORKSTATION-491,Workstation,Low,Minimal Impact
AST-0493,AST-CLOUD-493,Cloud Storage Bucket,Low,Minimal Impact
AST-0494,AST-FIREWALL-494,Firewall Appliance,Low,Minimal Impact
AST-0495,AST-IDENTITY-495,Identity Provider (IdP),Low,Minimal Impact
AST-0496,SRV-DOMAIN-496,Domain Controller,Low,Minimal Impact
AST-0497,SRV-DATABASE-497,Database Server,Low,Minimal Impact
AST-0498,AST-PAYMENT-498,Payment Gateway,Low,Minimal Impact
AST-0499,AST-WORKSTATION-499,Workstation,Low,Minimal Impact
AST-0500,AST-API-500,API Gateway,Low,Minimal Impact
